"address_id";"address";"city";"postal_code";"latitude";"longitude"
128;"12 RUE DE LA CROIX VERTE";"CHAVAGNE";"35310";48.055;-1.78978
129;"1 AV GABRIEL PERI";"RUEIL-MALMAISON";"92500";48.8828;2.18829
130;"6 RUE GUSTAVE RICHARD";"SEGRE-EN-ANJOU BLEU";"49500";47.6796;-0.868546
131;"81 RUE DU FRESCHE BLANC";"NANTES";"44300";47.2484;-1.55208
132;"10 RUE DE L EGLISE";"MYENNES";"58440";47.4458;2.93566
133;"28 RUE DES BOIS";"FONTAINEBLEAU";"77300";48.4086;2.70286
134;"25 RUE GABRIEL HAYES";"NOGENT LE ROTROU";"28400";48.3208;0.804496
135;"40 BD GAMBETTA";"SANNOIS";"95110";48.9757;2.24787
137;"15 AV MALVESIN";"COURBEVOIE";"92400";48.9031;2.27049
138;"17 IMP DE LA TOUCHE";"MONTSURS";"53150";48.1925;-0.525075
139;"6 RUE DE GOND";"PADOUX";"88700";48.2779;6.56995
140;"31 RUE RICHARD DE FOURNIVAL";"AMIENS";"80090";49.8836;2.31588
141;"11 RUE BLANQUI";"MERICOURT";"62680";50.4033;2.85875
142;"1 TRA DE LA CARRAIRE";"VALENSOLE";"4210";43.8379;5.98257
143;"78 RUE DE L ECHASSIER";"COGNAC";"16100";45.6918;-0.30817
144;"22 RUE DE LA MAIRIE";"DANGERS";"28190";48.5074;1.35072
145;"23 RUE DE THABERT";"GONNEVILLE-LE THEIL";"50330";0.0;0.0
146;"12 RTE DE VESOUL";"VELESMES-ECHEVANNE";"70100";47.4136;5.71314
147;"9001 SQ LAFAYETTE";"COMPIEGNE";"60200";49.4087;2.82329
148;"139 RUE DE L ARTISANAT";"VEZELIN-SUR-LOIRE";"42260";45.8844;4.0849
149;"95 AV STALINGRAD";"ARLES";"13200";43.6827;4.63235
150;"3 AV DE LA BARMASSA";"VILLEFRANCHE-SUR-MER";"6230";43.7062;7.30902
151;"377 CHE DES FUMADES";"SAINT-CANNAT";"13760";43.6262;5.29902
152;"17 IMP DES JARDINS";"VALLEIRY";"74520";46.1068;5.96634
153;"140 CHEM DE LAGROUNE";"ANGRESSE";"40150";0.0;0.0
154;"8 RUE DE LA BRIDE";"AURILLAC";"15000";44.9296;2.44432
155;"488 RTE DE SONNEX";"SAINT-LAURENT";"74800";46.0486;6.3433
156;"7 CHE DES MYRTES";"BEAULIEU SUR MER";"6310";43.7079;7.32817
157;"11 RUE DU 11 NOVEMBRE 1918";"LOUHANS";"71500";46.6316;5.21867
158;"9 PL DU HUIT MAI 1945";"PIERRELAYE";"95480";0.0;0.0
159;"44 CHE DES MUSICIENS";"GERARDMER";"88400";48.0829;6.88519
160;"175 ALL DES AMANDIERS";"SAINT-CYR-SUR-MER";"83270";43.1514;5.70313
161;"103 IMP DU BAGUIER";"DRAGUIGNAN";"83300";43.5313;6.42957
162;"10 RUE DE NAVARIN";"PARIS 09";"75009";0.0;0.0
164;"18 BD VITAL BOUHOT";"NEUILLY-SUR-SEINE";"92200";48.8958;2.26737
165;"147 BD DE STRASBOURG";"NOGENT-SUR-MARNE";"94130";48.8428;2.48488
166;"14 PL DE LA REPUBLIQUE";"CHALETTE-SUR-LOING";"45120";48.0139;2.73138
167;"92 AV ROGER SALENGRO";"SAVIGNY-SUR-ORGE";"91600";48.6816;2.3413
168;"11 AV NAPOLEON 3";"AJACCIO";"20000";0.0;0.0
169;"7 RUE DU PARADIS";"AGEN";"47000";44.2026;0.61444
170;"640 AV DE BREDASQUE";"AIX EN PROVENCE";"13090";43.5329;5.41629
172;"1013 RTE DE LEPLASSOTTE";"PRECHACQ-LES-BAINS";"40465";43.7548;-0.92318
173;"49 RUE DES CARNETS";"CLAMART";"92140";48.7895;2.25968
174;"3 SQ MAZARINE";"VANNES";"56000";47.6486;-2.74311
175;"9 RUE DU HUREPOIX";"ABLIS";"78660";48.5154;1.84384
176;"10 RUE DU PRE DE FOIRE";"GRIMAUD";"83310";43.2736;6.52283
177;"2 AV DE L ACACIA";"DRANCY";"93700";48.9169;2.44121
179;"10 RUE DES 4 VENTS";"CABREROLLES";"34480";0.0;0.0
